EMAIL;NOME;SITO;COMUNE;TELEFONO;DATA
lchairprofessional@gmail.com;Licia Hair Professional;https://hubtecit-srl.github.io/website/licia-hair-professional-arcole.html;Arcole;045 614 4123;2026-07-21
cryparru@gmail.com;Cristyle di Sarti Cristina;https://hubtecit-srl.github.io/website/cristyle-belfiore.html;Belfiore;045 614 9081;2026-07-23
maurogalbero@gmail.com;Pizza e pizzA;https://hubtecit-srl.github.io/website/pizza-e-pizza-belfiore.html;Belfiore;375 534 5318;2026-07-23
algattoverde@gmail.com;Gatto Verde;https://hubtecit-srl.github.io/website/gatto-verde-belfiore.html;Belfiore;045 764 0147;2026-07-23

silviacami88@gmail.com;Estetica Silvia;https://hubtecit-srl.github.io/website/estetica-silvia-bovolone.html;Bovolone;347 339 5672;2026-07-23
invinowinefood@libero.it;Invino wine food;https://hubtecit-srl.github.io/website/invino-wine-food-bovolone.html;Bovolone;045 853 0999;2026-07-24
sabriabi@hotmail.it;Tagliati per il Successo;https://hubtecit-srl.github.io/website/tagliati-per-il-successo-bussolengo.html;Bussolengo;045 670 2646;2026-07-24
monistyle7@gmail.com;Mo.Ni.St.Yle;https://hubtecit-srl.github.io/website/monistyle-buttapietra.html;Buttapietra;347 486 0290;2026-07-24
frantoio.pesina@gmail.com;Trattoria Al Frantoio;https://hubtecit-srl.github.io/website/al-frantoio-caprino.html;Caprino Veronese;045 923 2145;2026-07-28
alvicolo.caprino@gmail.com;Ristorante Al Vicolo;https://hubtecit-srl.github.io/website/al-vicolo-caprino.html;Caprino Veronese;328 859 5197;2026-07-28
nelubandula@yahoo.com;Osteria Colomba;https://hubtecit-srl.github.io/website/osteria-colomba-caprino.html;Caprino Veronese;045 978 3039;2026-07-28
esteticathena@gmail.com;Estetica Athena;https://hubtecit-srl.github.io/website/estetica-athena-casaleone.html;Casaleone;327 079 6553;2026-07-28
allamola@libero.it;Trattoria Alla Mola;https://hubtecit-srl.github.io/website/trattoria-alla-mola-casaleone.html;Casaleone;0442 332332;2026-07-28
ristoalcaminetto@libero.it;Ristorante Al Caminetto;https://hubtecit-srl.github.io/website/ristorante-al-caminetto-casaleone.html;Casaleone;0442 332403;2026-07-28
newlightvr@gmail.com;Lab77 Estetica Avanzata;https://hubtecit-srl.github.io/website/lab77-estetica-castel-dazzano.html;Castel d'Azzano;045 512521;2026-07-28
spaceristobar@libero.it;Pappa e Ciccia;https://hubtecit-srl.github.io/website/pappa-e-ciccia-castel-dazzano.html;Castel d'Azzano;045 258 0318;2026-07-29
kookaicafe008@gmail.com;Kookai - Cocktail Bar;https://hubtecit-srl.github.io/website/kookai-cocktail-bar-castel-dazzano.html;Castel d'Azzano;345 705 8433;2026-07-29
